N;ORIGINAL;PLUTO;TRACO;3D;3D16;DAPT;
 500;0.0248;0.4085;0.4413;0.0644;0.0772;0.0309;
1000;0.1830;0.8332;0.9726;0.1932;0.2366;0.0790;
1500;0.6144;1.2971;1.6379;0.4131;0.5238;0.1837;
2000;1.4907;1.8029;2.4885;0.7627;0.9852;0.3678;
2500;3.1769;2.4499;3.5507;1.2753;1.6284;0.7238;
3000;6.6111;3.3084;4.9197;1.9341;2.5687;1.2879;
3500;11.5210;4.3384;6.6721;2.8948;3.8682;2.2197;
4000;20.0244;5.7081;8.6678;4.0458;5.6234;3.5855;
4500;31.2202;7.2848;10.9346;5.6120;7.7728;5.4109;
5000;47.0129;9.2976;13.7661;7.8200;10.5772;7.8849;
5500;72.8787;11.3556;17.3515;10.1946;13.6112;11.7782;
6000;101.6719;14.0040;20.8501;13.0620;17.3758;15.1430;
6500;152.9122;16.8588;26.5508;16.2672;21.6263;20.3243;
7000;162.4452;20.3607;32.3453;19.5981;26.4832;23.0601;
7500;198.0166;23.6793;37.3144;23.7730;32.1510;33.2408;
8000;282.1556;28.4410;46.9896;28.6694;38.8822;42.8209;
8500;325.5567;34.2116;58.0246;35.6768;48.4861;53.3525;
9000;378.5259;40.7923;72.6229;42.5509;57.0832;68.3210;
9500;446.1070;46.6347;81.5045;49.4150;66.1378;78.1654;
10000;565.4685;54.6087;98.7149;54.6689;72.6231;82.4165;
10500;685.8830;58.2334;107.2077;62.6778;84.5076;111.7254;
11000;771.9460;67.6561;122.9304;71.9289;97.0490;133.3545;
11500;901.6527;76.8050;141.1543;82.2954;109.4077;151.7547;
12000;1041.4824;86.0689;173.0238;93.0561;127.5271;185.2462;
