,N,ORIGINAL,PLUTO,TRACO,3D,DAPT
0,500,0.0328,2.103,1.09,1.058,4.62
1,1000,0.2567,5.315,1.762,2.055,8.389
2,1500,0.8585,6.345,2.37,2.994,9.879
3,2000,2.0222,8.612,3.159,3.927,11.197
4,2500,3.9989,9.977,3.677,4.991,9.42
5,3000,7.9316,10.827,4.592,6.809,12.193
6,3500,14.2811,13.271,5.817,8.921,16.1
7,4000,25.4648,19.736,8.783,11.835,16.406
8,4500,38.978,21.146,9.787,13.534,19.182
9,5000,58.2808,24.63,11.344,13.725,18.788
10,5500,68.7313,21.446,10.596,12.265,14.102
11,6000,109.1117,25.604,12.81,14.951,18.056
12,6500,139.8808,25.149,12.959,15.829,17.993
13,7000,183.8039,26.321,13.758,16.728,19.121
14,7500,215.6358,25.538,12.218,15.946,16.564
15,8000,290.8529,26.702,11.731,18.281,18.072
16,8500,345.0911,22.106,12.323,18.204,17.065
17,9000,426.3098,24.612,10.356,18.162,17.425
18,9500,475.3197,21.806,12.861,18.003,15.479
19,10000,601.5065,24.433,10.199,20.035,16.606
20,10500,700.8743,23.885,12.421,20.275,16.687
21,11000,827.4926,23.956,10.054,20.737,16.694
22,11500,921.4676,23.878,13.762,20.415,16.561
23,12000,1102.5609,23.992,10.102,21.058,17.012
