N;ORIGINAL;PLUTO;TRACO;3D;3D_16;DAPT;
 500;0.0395;0.0162;0.0280;0.0292;0.0322;0.0068;
1000;0.2549;0.0581;0.1374;0.1207;0.1414;0.0390;
1500;0.8537;0.1594;0.3355;0.2732;0.3156;0.1186;
2000;2.0130;0.3255;0.6098;0.5070;0.6742;0.2672;
2500;4.0268;0.5605;0.9867;0.9792;1.1710;0.4761;
3000;8.0636;0.9296;1.5215;1.6670;1.8189;0.8235;
3500;14.7423;1.3717;2.3461;2.4891;2.7583;1.3272;
4000;25.3675;2.0229;3.5678;3.4746;3.9784;2.0864;
4500;38.5209;2.8036;5.0084;4.9066;5.5191;3.1831;
5000;58.0421;3.9371;6.9212;6.5830;7.5014;4.5433;
5500;68.5218;5.1824;8.7748;8.4929;9.9244;7.0052;
6000;108.1098;6.7517;12.9673;10.9836;12.7570;8.9475;
6500;139.1947;9.0272;16.3360;14.0096;16.0469;11.7567;
7000;182.9630;12.1988;20.9882;17.9485;19.8612;15.5078;
7500;215.4576;17.2611;26.3267;21.7772;24.6080;20.1981;
8000;290.5449;19.5398;39.9895;25.9454;29.8950;25.1543;
8500;345.2298;22.1474;45.3569;31.3838;36.5231;30.1786;
9000;428.8542;31.5463;68.5521;37.4139;43.8585;37.7154;
9500;475.3822;40.8064;61.5520;44.5862;50.5893;46.3055;
10000;607.8533;44.0741;96.7385;51.5291;60.3851;55.6101;
10500;700.4825;50.6123;95.9156;59.6961;69.7822;64.4494;
11000;826.3334;59.3541;133.7546;68.5390;80.4558;77.0371;
11500;916.8744;73.1493;120.2643;78.2376;90.5940;88.1536;
12000;1101.3227;79.8066;184.2217;89.5405;104.8967;101.9926;
